code,name
1710,Indonesia Java Yogyakarta Region (n=62)
1942,Indonesia Moluccan Islands (n=24)
1941,Indonesia Nusa Tenggara Islands (n=49)
1943,Indonesia Singaporean (n=50)
2572,Indonesia Sundanese and Javanese (n=201)
2448,Iran (n=58)
2384,Iran Azeri (n=100)
1801,Iran Baloch (n=100)
1889,Iran Fars Parsi (n=73)
3662,Iran Gorgan (n=64)
2385,Iran Kurd (n=100)
3360,Iran Kurd pop 2 (n=60)
3232,Iran pop 1 (n=64)
3233,Iran pop 2 (n=120)
3234,Iran pop 3 (n=100)
3661,Iran pop 4 (n=855)
2813,Iran Royan Cord Blood Bank (n=15600)
3774,Iran Saqqez-Baneh Kurds (n=60)
3771,Iran Tabriz Azeris (n=97)
1305,Iran Tehran (n=120)
1890,Iran Yazd Zoroastrian (n=65)
3680,Iraq Arabs (n=149)
3431,Iraq Erbil (n=372)
3143,Iraq Kurdistan Region (n=209)
2260,Ireland Donegal (n=200)
1243,Ireland Northern (n=1000)
2237,Ireland Northern pop 2 (n=122)
2505,Ireland Northern pop 3 (n=150)
2275,Ireland South (n=250)
3093,Ireland South pop 2 (n=17624)
2261,Ireland Wexford (n=200)
2128,Israel Arab (n=109)
2029,Israel Arab Druze (n=101)
3390,Israel Arab pop 2 (n=12301)
3389,Israel Argentina Jews (n=4307)
2030,Israel Ashkenazi and Non Ashkenazi Jews (n=146)
1615,Israel Ashkenazi Jews (n=80)
1824,Israel Ashkenazi Jews pop 2 (n=132)
3388,Israel Ashkenazi Jews pop 3 (n=4625)
3387,Israel Bukhara Jews (n=2317)
3386,Israel Druze (n=5914)
3385,Israel Ethiopia Jews (n=5928)
2126,Israel Ethiopian Jews (n=122)
3384,Israel Georgia Jews (n=4471)
3383,Israel Iran Jews (n=8153)
2125,Israel Iranian Jews (n=101)
3382,Israel Iraq Jews (n=13270)
1970,Israel Jews pop 2 (n=23000)
3381,Israel Kavkazi Jews (n=2840)
3380,Israel Libya Jews (n=3739)
2124,Israel Libyan Jews (n=119)
1823,Israel Moroccan Jews (n=113)
3379,Israel Morocco Jews (n=36718)
1616,Israel Non Ashkenazi Jews (n=80)
3378,Israel Poland Jews (n=13871)
3377,Israel Tunisia Jews (n=9070)
3376,Israel USA Jews (n=6058)
3375,Israel USSR Jews (n=45681)
2127,Israel Yemenite Jews (n=76)
3374,Israel YemenJews (n=15542)
1245,Italy (n=159311)
1355,Italy Bergamo (n=101)
1451,Italy Central (n=380)
3371,Italy East Sicily (n=50)
3398,Italy Lombardy (n=674)
2393,Italy North (n=277)
1865,Italy North Pavia (n=81)
2687,Italy North Pavia pop 2 (n=2416)
3142,Italy North Pavia pop 3 (n=685)
1363,Italy North pop 2 (n=2054)
1354,Italy North pop 3 (n=97)
2267,Italy pop 2 (n=53)
2535,Italy pop 3 (n=179)
2734,Italy pop 4 (n=4575)
3041,Italy pop 5 (n=975)
3097,Italy pop 6 (n=184)
1346,Italy Rome (n=100)
1396,Italy Sardinia (n=86)
3115,Italy Sardinia pop 4 (n=49)
2102,Italy Sardinia pop2 (n=1129)
2176,Italy Sardinia pop3 (n=100)
2394,Italy South (n=141)
1924,Italy South Campania Region (n=1089)
2784,Italy Turin (n=87)
2114,Ivory Coast Adiopodoume Akan (n=44)
1257,Jamaica (n=132)
1826,Japan (n=50)
1340,Japan Aichi (n=50)
1874,Japan Central (n=371)
1276,Japan Fukuoka (n=86)
1839,Japan Hokkaido Ainu (n=50)
1871,Japan Hokkaido Wajin (n=71)
1347,Japan Hyogo (n=32)
1912,Japan Hyogo Osaka and Nagano (n=195)
2498,Japan Kyoto and Osaka (n=165)
1872,Japan Nagano (n=57)
2032,Japan Okinawa Ryukyuan (n=143)
3231,Japan pop 1 (n=560)
2427,Japan pop 10 (n=332)
2494,Japan pop 11 (n=62)
3136,Japan pop 16 (n=18604)
3279,Japan pop 17 (n=3078)
1910,Japan pop 2 (n=916)
1979,Japan pop 3 (n=1018)
1980,Japan pop 4 (n=525)
1985,Japan pop 5 (n=117)
2067,Japan pop 6 (n=129)
2357,Japan pop 7 (n=317)
2358,Japan pop 8 (n=308)
2409,Japan pop 9 (n=132)
2575,Japan South (n=125)
2637,Japan Tohoku Region (n=322)
2861,Jordan (n=15141)
2122,Jordan Amman (n=146)
2018,Kenya (n=144)
1485,Kenya Luo (n=265)
1484,Kenya Nandi (n=240)
3393,Kenya, Nyanza Province, Luo tribe (n=100)
1709,Kiribati (n=62)
3740,Kosovo (n=124)
1931,Lebanon Kafar Zubian (n=94)
